Feature,Description
Model Identifier:,"MacBookPro12,1"
Processor Name:,Intel Core i5
Processor Speed:,2.7 GHz
Number of Processors:,1 (2 Cores)
L2 Cache (per Core):,256 KB
L3 Cache:,3 MB
Memory:,8 GB
