1, LAX, DL, 200408,2.1097689,57,144
1, LAX, DL, 200705,1.4220141,60,301
1, LAX, DL, 201002,0.88229245,41,223
1, LAX, DL, 201110,0.8083183,48,314
1, LAX, DL, 201407,2.4715261,79,384
1, LAX, EA, 198912,0.05775076,5,8
1, LAX, EV, 200511,0.4272727,10,17
1, LAX, FL, 201003,0.3516673,15,91
1, LAX, FL, 201111,0.29056606,11,33
1, LAX, HA, 201006,0.15692307,7,25
1, LAX, HP, 198912,24.366095,277,443
1, LAX, HP, 199101,11.73875,128,215
1, LAX, HP, 199803,5.065674,54,97
1, LAX, HP, 199911,2.8000722,36,83
1, LAX, HP, 200505,0.031088082,1,25
1, LAX, ML, 199103,0.21742709,10,36
1, LAX, MQ, 200106,18.913216,134,311
1, LAX, MQ, 200403,5.8377066,50,234
1, LAX, MQ, 200511,3.2004771,27,109
1, LAX, MQ, 200808,1.4022223,18,64
1, LAX, MQ, 201105,2.1833336,17,113
1, LAX, MQ, 201402,1.3916665,11,40
1, LAX, NW, 199007,0.9125118,23,31
1, LAX, NW, 199304,0.123359576,5,23
1, LAX, NW, 199412,0.41614515,13,35
1, LAX, NW, 199601,0.08560311,4,21
1, LAX, NW, 200303,0.13492064,7,28
1, LAX, NW, 200411,0.1434263,8,27
1, LAX, OO, 200505,21.704035,182,741
1, LAX, OO, 200802,15.88668,148,435
1, LAX, OO, 200910,8.80372,107,392
1, LAX, OO, 201207,6.358888,88,284
1, LAX, OO, 201504,6.8676147,73,252
1, LAX, PA, 198904,2.6722736,27,48
1, LAX, PA, 199012,0.7075878,33,78
1, LAX, PI, 198905,0.08776643,4,4
1, LAX, TW, 198902,3.1179144,44,99
1, LAX, TW, 199010,0.8756615,32,90
1, LAX, TW, 199307,0.58560157,24,51
1, LAX, TW, 199604,0.75417507,31,69
1, LAX, TW, 199712,2.487532,34,120
1, LAX, TW, 199901,0.97998214,44,109
1, LAX, TW, 200009,0.3139047,19,69
1, LAX, TZ, 200303,0.42513832,17,68
1, LAX, TZ, 200411,0.095419854,8,19
1, LAX, UA, 199001,2.1406474,81,264
1, LAX, UA, 199109,1.0049665,46,218
1, LAX, UA, 199406,6.068959,121,292
1, LAX, UA, 199703,12.668188,295,799
1, LAX, UA, 199811,5.0802283,185,744
1, LAX, UA, 200108,4.1301093,155,533
1, LAX, UA, 200405,2.1718612,114,320
1, LAX, UA, 200702,3.7382064,169,449
1, LAX, UA, 200810,1.9696704,91,583
1, LAX, UA, 201107,1.3218071,63,523
1, LAX, UA, 201404,3.0278268,149,693
1, LAX, US, 198902,6.9432926,79,230
1, LAX, US, 199010,2.9552016,89,203
1, LAX, US, 199307,1.20432,62,149
1, LAX, US, 199604,1.1929355,55,186
1, LAX, US, 199712,0.48420155,32,143
1, LAX, US, 199901,0.76402146,44,120
1, LAX, US, 200009,0.50326496,24,84
1, LAX, US, 200306,0.33860162,17,49
1, LAX, US, 200603,6.017812,101,264
1, LAX, US, 200711,1.8739644,44,262
1, LAX, US, 201008,0.19722863,12,76
1, LAX, US, 201305,0.42518494,19,124
1, LAX, VX, 201404,1.3456211,72,326
1, LAX, WN, 199007,0.0,0,25
1, LAX, WN, 199304,1.8612319,21,93
1, LAX, WN, 199412,25.193775,295,484
1, LAX, WN, 199601,19.724308,215,559
1, LAX, WN, 199709,0.3697663,5,72
1, LAX, WN, 200006,0.3254902,11,50
1, LAX, WN, 200303,5.1276236,79,520
1, LAX, WN, 200411,7.637581,97,590
1, LAX, WN, 200708,0.4502229,19,141
1, LAX, WN, 201005,0.6270127,21,62
1, LAX, WN, 201302,4.893111,87,285
1, LAX, WN, 201410,0.8544306,37,140
1, LAX, YV, 200602,0.056818184,2,24
1, MDW, AA, 199909,0.21126762,5,13
1, MDW, AA, 200206,0.77213025,15,33
1, MDW, CO, 198906,0.50000006,6,12
1, MDW, CO, 199608,6.483518,69,114
1, MDW, CO, 199905,2.7553837,38,119
1, MDW, DL, 200003,1.0185184,14,19
1, MDW, DL, 201110,0.051282052,1,4
1, MDW, DL, 201407,0.0,0,1
1, MDW, EV, 201402,0.89499295,9,30
1, MDW, EV, 201510,0.7980123,10,64
1, MDW, F9, 200707,3.4021168,65,104
1, MDW, F9, 201004,0.48043492,11,62
1, MDW, F9, 201112,1.4406435,28,80
1, MDW, F9, 201301,0.33259937,8,31
1, MDW, F9, 201409,0.7392668,14,63
1, MDW, FL, 200301,0.3893805,7,18
1, MDW, FL, 200409,0.59939367,8,61
1, MDW, FL, 200706,1.682243,28,84
1, MDW, FL, 201111,0.32800263,6,36
1, MDW, FL, 201408,0.4701288,8,24
1, MDW, HP, 199209,1.8977779,29,94
1, MDW, HP, 199506,6.506585,80,118
1, MDW, HP, 199803,2.8436224,29,98
1, MDW, HP, 199911,0.23188406,3,12
1, MDW, ML, 199103,15.130985,253,660
1, MDW, NW, 199007,0.57948714,7,48
1, MDW, NW, 199304,4.5931225,51,111
1, MDW, NW, 199412,3.1627822,37,109
1, MDW, NW, 199601,4.1799965,44,83
1, MDW, NW, 199709,3.5147343,33,81
1, MDW, NW, 200006,1.8581818,22,61
1, MDW, NW, 200303,0.39484128,5,37
1, MDW, NW, 200411,3.61692,43,81
1, MDW, NW, 200708,2.9756227,35,97
1, MDW, OH, 201007,0.3125,5,21
1, MDW, RU, 200406,1.9647171,24,60
1, MDW, TZ, 200303,6.3641963,187,534
1, MDW, TZ, 200411,6.4514318,168,458
1, MDW, US, 198902,1.282353,18,30
1, MDW, US, 199010,2.2306519,28,68
1, MDW, US, 199307,2.2852848,33,96
1, MDW, US, 200009,0.0,0,2
1, MDW, WN, 199007,4.683334,45,334
1, MDW, WN, 199304,13.030415,137,435
1, MDW, WN, 199412,25.43169,257,779
1, MDW, WN, 199601,23.729261,221,726
1, MDW, WN, 199709,22.966564,219,778
1, MDW, WN, 200006,23.326643,234,602
1, MDW, WN, 200303,12.554035,179,767
1, MDW, WN, 200411,21.181995,252,873
1, MDW, WN, 200708,27.46142,524,1779
1, MDW, WN, 201005,23.5169,433,1643
1, MDW, WN, 201302,14.003981,312,1036
1, MDW, WN, 201410,21.979696,448,1406
1, MDW, XE, 200704,1.1336997,10,34
1, SAT, AA, 198910,2.5750432,43,170
1, SAT, AA, 199207,1.7500794,41,70
1, SAT, AA, 199504,1.2666072,28,50
1, SAT, AA, 199612,0.28318202,6,39
1, SAT, AA, 199909,0.12031499,3,29
1, SAT, AA, 200206,0.57650894,18,84
1, SAT, AA, 200503,0.7938368,20,60
1, SAT, AA, 200611,0.8857143,24,96
1, SAT, AA, 200908,0.49562478,13,52
1, SAT, AS, 201403,0.09130435,7,30
1, SAT, CO, 198906,0.42355412,7,40
1, SAT, CO, 199203,0.41589442,11,41
1, SAT, CO, 199311,0.83552396,11,64
1, SAT, CO, 199608,6.675272,67,161
1, SAT, CO, 199905,1.6047847,17,42
1, SAT, CO, 200202,0.60139644,7,25
1, SAT, CO, 200310,0.33556616,6,29
1, SAT, CO, 200607,0.031128405,1,18
1, SAT, CO, 200904,1.4348576,17,43
1, SAT, CO, 201012,0.18619528,2,11
1, SAT, DL, 199004,3.8687584,45,107
1, SAT, DL, 199112,8.4055195,64,93
1, SAT, DL, 199301,0.8971891,17,30
1, SAT, DL, 199409,3.439322,24,54
1, SAT, DL, 199706,1.3726386,27,33
1, SAT, DL, 200003,0.98939157,16,50
1, SAT, DL, 200111,0.39130434,9,24
1, SAT, DL, 201110,0.13727152,4,37
1, SAT, DL, 201407,0.349314,9,38
1, SAT, EV, 200511,0.3253012,6,27
1, SAT, EV, 201402,0.29929003,6,40
1, SAT, EV, 201510,0.56571424,11,22
1, SAT, F9, 200707,1.6943334,32,63
1, SAT, F9, 201004,0.17600001,5,19
1, SAT, F9, 201112,0.5167847,9,22
1, SAT, HP, 198912,2.8639996,38,76
